"SPU_hit","SPU_common_name","GO","SPU_description","GID"
"SPU_022163","Sp-Max","GO:0003700","Myc-associated factor X","HER_18881.t1.2.5f2c6bcb"
"SPU_022573","Sp-Nk7","GO:0000978","NK7 homeobox","HER_9089.t1"
"SPU_022678","Sp-RoraL","GO:0000978","RAR-related orphan receptor A-like, NR1F1-like, RZRa-like, Sp-ror","HER_38058.t1_HER_38055.t1"
"SPU_022816","Sp-Alx4","GO:0000977","aristaless-like homeobox 4-like, Alx1/3/4-like","HER_12798.t1"
"SPU_022846","Sp-FoxABL","GO:0000978","forkhead box A and B-like, SpFoxAB-like","HER_10887.t1"
"SPU_023037","Sp-Bbx","GO:0000977","bobby sox homolog","HER_41233.t1_HER_41236.t1"
"SPU_023339","Sp-Nfi","GO:0000978","nuclear factor I homolog, Sp-Nfia","HER_7155.t1"
"SPU_023339","Sp-Nfi","GO:0000978","nuclear factor I homolog, Sp-Nfia","HER_7157.t1"
"SPU_023339","Sp-Nfi","GO:0000978","nuclear factor I homolog, Sp-Nfia","HER_7157.t2"
"SPU_023339","Sp-Nfi","GO:0000978","nuclear factor I homolog, Sp-Nfia","HER_7157.t3"
"SPU_023366","Sp-Ezh","GO:0003682","Enhancer of zeste homolog, E(z), histone-lysine N-methyltransferase EZH, Sp-Enz1, Sp-Enz2, Sp-Ezh2","HER_21534.t1"
"SPU_023366","Sp-Ezh","GO:0003682","Enhancer of zeste homolog, E(z), histone-lysine N-methyltransferase EZH, Sp-Enz1, Sp-Enz2, Sp-Ezh2","HER_21534.t2"
"SPU_023386","Sp-Tbx2/3","GO:0000978","T-box 2/3, omb, Sp-Tbx2-3","HER_348.t1"
"SPU_023386","Sp-Tbx2/3","GO:0000978","T-box 2/3, omb, Sp-Tbx2-3","HER_348.t2"
"SPU_023867","Sp-Couptf","GO:0000978","COUP transcription factor-like, NR2F3, seven up homolog, Sp-Couptf1","HER_10850.t1"
"SPU_023867","Sp-Couptf","GO:0000978","COUP transcription factor-like, NR2F3, seven up homolog, Sp-Couptf1","HER_10850.t1.1.5f2c6ced"
"SPU_023867","Sp-Couptf","GO:0000978","COUP transcription factor-like, NR2F3, seven up homolog, Sp-Couptf1","HER_10850.t1.2.5f2c6ced"
"SPU_023867","Sp-Couptf","GO:0000978","COUP transcription factor-like, NR2F3, seven up homolog, Sp-Couptf1","HER_10850.t1.3.5f2c6ced"
"SPU_023867","Sp-Couptf","GO:0000978","COUP transcription factor-like, NR2F3, seven up homolog, Sp-Couptf1","HER_10850.t1.4.5f2c6cee"
"SPU_023867","Sp-Couptf","GO:0000978","COUP transcription factor-like, NR2F3, seven up homolog, Sp-Couptf1","HER_10850.t1.5.5f2c6cee"
"SPU_023867","Sp-Couptf","GO:0000978","COUP transcription factor-like, NR2F3, seven up homolog, Sp-Couptf1","HER_10850.t1.6.5f2c6cee"
"SPU_023867","Sp-Couptf","GO:0000978","COUP transcription factor-like, NR2F3, seven up homolog, Sp-Couptf1","HER_10850.t1.7.5f2c6cf7"
"SPU_024093","Sp-Abox","GO:0008080","absent from olfactores homeobox (Branchiostoma) homolog, Sp-Phb2","HER_38943.t1"
"SPU_024093","Sp-Abox","GO:0008080","absent from olfactores homeobox (Branchiostoma) homolog, Sp-Phb2","HER_38944.t1"
"SPU_024093","Sp-Abox","GO:0000981","absent from olfactores homeobox (Branchiostoma) homolog, Sp-Phb2","HER_39549.t1"
"SPU_024093","Sp-Abox","GO:0008080","absent from olfactores homeobox (Branchiostoma) homolog, Sp-Phb2","HER_39555.t1"
"SPU_024093","Sp-Abox","GO:0008080","absent from olfactores homeobox (Branchiostoma) homolog, Sp-Phb2","HER_39555.t1.1.5f2c68d6"
"SPU_024139","Sp-FoxC","GO:0000978","forkhead box C","HER_45923.t1"
"SPU_024307","Sp-NfIL3","GO:0003677","nuclear factor, interleukin 3 regulated-like","HER_7701.t1"
"SPU_024486","Sp-Dsf","GO:0000978","dissatisfaction homolog,  NR2E4-like","HER_36293.t1"
"SPU_024486","Sp-Dsf","GO:0000122","dissatisfaction homolog,  NR2E4-like","HER_36294.t1"
"SPU_024486","Sp-Dsf","GO:0000978","dissatisfaction homolog,  NR2E4-like","HER_36303.t1"
"SPU_024715","Sp-Cdx","GO:0000977","caudal type homeobox, Sp-CDX2, Sp-Cdxl, Sp-Cdx_1","HER_49463.t1"
"SPU_024715","Sp-Cdx","GO:0000977","caudal type homeobox, Sp-CDX2, Sp-Cdxl, Sp-Cdx_1","HER_49491.t1"
"SPU_024715","Sp-Cdx",NA,"caudal type homeobox, Sp-CDX2, Sp-Cdxl, Sp-Cdx_1","HER_49492.t1"
"SPU_024903","Sp-Ese","GO:0000981","epithelium-specific ets factor-like, Ehf-like, Elf3/5-like","HER_12631.t1"
"SPU_024903","Sp-Ese","GO:0000981","epithelium-specific ets factor-like, Ehf-like, Elf3/5-like","HER_12633.t1"
"SPU_024903","Sp-Ese","GO:0000981","epithelium-specific ets factor-like, Ehf-like, Elf3/5-like","HER_12633.t2"
"SPU_025010","Sp-FoxK","GO:0000978","forkhead box K, Foxk1/2-like","HER_16335.t1"
"SPU_025292","Sp-Cic","GO:0000977","capicua transcriptional repressor","HER_41865.t1_HER_41864.t1"
"SPU_025302","Sp-Alx1","GO:0000977","aristaless-like homeobox 1-like, Alx1(Cart1)/Alx3/Alx4 subfamily-like, Sp-Alx1_1","HER_12794.t1"
"SPU_025302","Sp-Alx1","GO:0000977","aristaless-like homeobox 1-like, Alx1(Cart1)/Alx3/Alx4 subfamily-like, Sp-Alx1_1","HER_12794.t1.1.5f2c6949"
"SPU_025302","Sp-Alx1","GO:0000977","aristaless-like homeobox 1-like, Alx1(Cart1)/Alx3/Alx4 subfamily-like, Sp-Alx1_1","HER_12794.t1.2.5f2c6949"
"SPU_025482","Sp-Ash1","GO:0003682","absent, small, or homeotic discs 1 (Drosophila) homolog; Ash1l","HER_10290.t1"
"SPU_025482","Sp-Ash1","GO:0003677","absent, small, or homeotic discs 1 (Drosophila) homolog; Ash1l","HER_10290.t2"
"SPU_025482","Sp-Ash1","GO:0003677","absent, small, or homeotic discs 1 (Drosophila) homolog; Ash1l","HER_10290.t3"
"SPU_025486","Sp-Mox","GO:0000978","mesenchyme homeobox, Meox1/2, Sp-Meox","HER_38513.t1"
"SPU_025584","Sp-Tbr","GO:0000978","T-box brain-like, Eomes-like, Tbx21-like, ske-T","HER_21600.t1"
"SPU_025888","Sp-Maf","GO:0000978","v-maf musculoaponeurotic fibrosarcoma oncogene family protein, Sp-mafB","HER_44565.t1"
"SPU_026205","Sp-Mnt","GO:0000978","Max-binding protein Mnt, Rox, Sp-Mint","HER_2110.t1"
"SPU_026465","Sp-Mll3","GO:0003713","Histone-lysine N-methyltransferase MLL2 and MLL3-like, trr homolog, Sp-Mll2/3","HER_38116.t1"
"SPU_026465","Sp-Mll3","GO:0003713","Histone-lysine N-methyltransferase MLL2 and MLL3-like, trr homolog, Sp-Mll2/3","HER_38116.t2"
"SPU_026465","Sp-Mll3",NA,"Histone-lysine N-methyltransferase MLL2 and MLL3-like, trr homolog, Sp-Mll2/3","HER_38117.t1"
"SPU_026465","Sp-Mll3","GO:0003713","Histone-lysine N-methyltransferase MLL2 and MLL3-like, trr homolog, Sp-Mll2/3","HER_38118.t1"
"SPU_026465","Sp-Mll3","GO:0003713","Histone-lysine N-methyltransferase MLL2 and MLL3-like, trr homolog, Sp-Mll2/3","HER_38118.t2"
"SPU_026633","Sp-Dmtf","GO:0000976","cyclin-D-binding Myb-like transcription factor 1-like, Dmtf1","HER_40286.t1"
"SPU_026633","Sp-Dmtf","GO:0000976","cyclin-D-binding Myb-like transcription factor 1-like, Dmtf1","HER_40286.t1.1.5f2c68ff"
"SPU_026763","Sp-Scmh1","GO:0003682","sex comb on midleg (scm) homolog 1-like, Scml2-like, Sp-Scml1","HER_36166.t1"
"SPU_026763","Sp-Scmh1","GO:0003682","sex comb on midleg (scm) homolog 1-like, Scml2-like, Sp-Scml1","HER_36166.t1.1.5f2c6c84"
"SPU_026763","Sp-Scmh1","GO:0003682","sex comb on midleg (scm) homolog 1-like, Scml2-like, Sp-Scml1","HER_36166.t2"
"SPU_026962","Sp-Ldb2","GO:0000122","LIM domain binding 2-like, Ldb-like, CLIM-like","HER_8616.t1"
"SPU_026962","Sp-Ldb2","GO:0000122","LIM domain binding 2-like, Ldb-like, CLIM-like","HER_8616.t1.1.5f2c6a6a"
"SPU_026962","Sp-Ldb2","GO:0000122","LIM domain binding 2-like, Ldb-like, CLIM-like","HER_8616.t2"
"SPU_026962","Sp-Ldb2",NA,"LIM domain binding 2-like, Ldb-like, CLIM-like","HER_8617.t1"
"SPU_027015","Sp-GataC","GO:0000122","GATA binding protein C, SpGATAc, Gata1/2/3-like","HER_38449.t1"
"SPU_027215","Sp-Hhex","GO:0000978","hematopoietically expressed homeobox, Sp-HEX, Hhex, Prh, Hmph","HER_9027.t1"
"SPU_027218","Sp-Nsd",NA,"histone-lysine N-methyltransferase NSD1/2/3-like, Wolf-Hirschhorn syndrome candidate 1 (Whsc1)-like, Mes-4 homolog, Sp-Trx, Sp-Nsd1","HER_8337.t2"
"SPU_027568","Sp-Hox3","GO:0000978","homeobox 3","HER_40071.t1"
"SPU_027623","Sp-Mist1","GO:0000981","dimmed homolog, Mist1-like, bHLHa15-like, Sp-Mist","HER_16341.t1"
"SPU_027774","Sp-Srf","GO:0000978","serum response factor, c-fos serum response element-binding transcription factor, blistered homolog","HER_18583.t1"
"SPU_027774","Sp-Srf","GO:0000978","serum response factor, c-fos serum response element-binding transcription factor, blistered homolog","HER_18583.t2"
"SPU_027774","Sp-Srf","GO:0003677","serum response factor, c-fos serum response element-binding transcription factor, blistered homolog","HER_44826.t1"
"SPU_028093","Sp-Scl","GO:0000978","stem cell protein-like, Tal1-like, Lyl1-like, HLH3B homolog","HER_5916.t1"
"SPU_028255","Sp-Nr1x","GO:0000122","nuclear receptor subfamily 1-like, Nr1-like, Sp-Nr1AB","HER_21164.t1"
"SPU_028479","Sp-Tel","GO:0000981","ets variant 6 (TEL oncogene) and 7-like (partial), Etv6/7-like, Yan-like","HER_12611.t1"
"SPU_028698","Sp-FoxO_1","GO:0000978","none","HER_35682.t1"
"SPU_030060","Sp-Pu1","GO:0000981","SFFV proviral integration oncogene-like, Spi1/SpiB/SpiC-like, Sp-Pu.1","HER_12627.t1"
"SPU_030060","Sp-Pu1","GO:0000981","SFFV proviral integration oncogene-like, Spi1/SpiB/SpiC-like, Sp-Pu.1","HER_12627.t2"
"SPU_006421","NA",NA,"NA","HER_30495.t1"
"SPU_006421","NA",NA,"NA","HER_30498.t1"
"SPU_006421","NA","GO:0000978","NA","HER_30501.t1"
"SPU_006421","NA",NA,"NA","HER_30504.t1"
"SPU_028148","Sp-Acsc","GO:0000977","achaete(ac)-scute(sc) homolog, Ascl1-like, Sp-Ac/Sc","HER_26992.t1"
"SPU_022554","Sp-Acsc3","GO:0000977","achaete(ac)-scute(sc) homolog 3, Sp-Ac-Sc3, Sp-ac-sc1a, Sp-Ac/Sc3","HER_26997.t1"
"SPU_022554","Sp-Acsc3","GO:0000977","achaete(ac)-scute(sc) homolog 3, Sp-Ac-Sc3, Sp-ac-sc1a, Sp-Ac/Sc3","HER_27003.t1"
"SPU_030149","Sp-Acsc5","GO:0000977","achaete (ac) and scute (sc) homolog, Ascl3/4/5-like, Sp-Ash3L","HER_25897.t1"
"SPU_018887","Sp-Adam/TsL4","GO:0000978","none","HER_13008.t1"
"SPU_018887","Sp-Adam/TsL4","GO:0004222","none","HER_13009.t1"
"SPU_019915","Sp-Apa","GO:0000978","another partner of ARF1-like, Znf410/Zfp410-like, z171","HER_19123.t1"
"SPU_000129","Sp-Arnt","GO:0000978","aryl hydrocarbon receptor nuclear translocator, bHLHe1/2-like, Sp-ArntL ","HER_9792.t1"
"SPU_017348","Sp-Atbf1","GO:0000978","AT-binding transcription factor 1-like, zinc finger homeobox, Sp-Zfhx, z30","HER_46439.t1"
"SPU_017348","Sp-Atbf1","GO:0000978","AT-binding transcription factor 1-like, zinc finger homeobox, Sp-Zfhx, z30","HER_46439.t2"
"SPU_026905","Sp-Atf2","GO:0000978","activating transcription factor 2-like, Atf2/7","HER_39692.t1"
"SPU_026905","Sp-Atf2","GO:0000978","activating transcription factor 2-like, Atf2/7","HER_39692.t1.1.5f2c68dd"
"SPU_002852","Sp-Atf4L","GO:0000977","activating transcription factor 4-like","HER_15760.t1"
"SPU_030150","Sp-Atl7L","GO:0000977","none","HER_25896.t1"
"SPU_011267","Sp-AtminL","GO:0000976","ATM interactor-like","HER_46120.t1"
"SPU_011315","Sp-Atoh8","GO:0000981","atonal homolog 8-like, net homolog, Math6, Sp-Ato, Sp-Hath6","HER_8067.t1"
"SPU_011315","Sp-Atoh8","GO:0000981","atonal homolog 8-like, net homolog, Math6, Sp-Ato, Sp-Hath6","HER_8099.t1"
"SPU_000990","Sp-Atol1","GO:0000981","atonal-like 1,  NeuroD-like","HER_14994.t1"
"SPU_000990","Sp-Atol1","GO:0000981","atonal-like 1,  NeuroD-like","HER_23729.t1"
"SPU_003681","Sp-Atol2","GO:0000981","atonal-like 2, Atoh-like","HER_25127.t1"
"SPU_014164","Sp-Barhl","GO:0000981","BarH-like homeobox, Sp-Barh1","HER_48042.t1"
"SPU_014164","Sp-Barhl",NA,"BarH-like homeobox, Sp-Barh1","HER_48043.t1"
"SPU_014164","Sp-Barhl","GO:0000981","BarH-like homeobox, Sp-Barh1","HER_48044.t1"
"SPU_002964","Sp-Bari1","GO:0000978","Bari homeobox 1","HER_48103.t1"
"SPU_018909","Sp-Bcl11L","GO:0000978","B cell leukemia/lymphoma 11-like, Sp-Z39","HER_17871.t1_HER_17869.t1"
"SPU_004028","Sp-Beta3","GO:0000981","bHLH transcription factor beta3-like, Bhlhe22/23-like, Sp-Beta3b, Sp-Beta3a","HER_4253.t1"
"SPU_001262","Sp-Birc6","GO:0000977","Baculoviral IAP repeat-containing 6, ubiquitin ligase","HER_18121.t1"
"SPU_001262","Sp-Birc6","GO:0004842","Baculoviral IAP repeat-containing 6, ubiquitin ligase","HER_18125.t1"
"SPU_027235","Sp-Blimp1","GO:0000978","B lymphocyte induced maturation protein-like, PRDM1-like, blimp1/krox, SpKrox1","HER_34700.t1"
"SPU_027235","Sp-Blimp1","GO:0000978","B lymphocyte induced maturation protein-like, PRDM1-like, blimp1/krox, SpKrox1","HER_34701.t1"
"SPU_013415","Sp-BlmL",NA,"Bloom syndrome, RecQ helicase-like homolog-like; Sp-Z328","HER_10198.t1"
"SPU_013415","Sp-BlmL",NA,"Bloom syndrome, RecQ helicase-like homolog-like; Sp-Z328","HER_10205.t1"
"SPU_013415","Sp-BlmL","GO:0003676","Bloom syndrome, RecQ helicase-like homolog-like; Sp-Z328","HER_12646.t1"
"SPU_013415","Sp-BlmL","GO:0000724","Bloom syndrome, RecQ helicase-like homolog-like; Sp-Z328","HER_17438.t1"
"SPU_013415","Sp-BlmL",NA,"Bloom syndrome, RecQ helicase-like homolog-like; Sp-Z328","HER_21520.t1"
"SPU_013415","Sp-BlmL","GO:0003676","Bloom syndrome, RecQ helicase-like homolog-like; Sp-Z328","HER_25419.t1"
"SPU_013415","Sp-BlmL","GO:0003676","Bloom syndrome, RecQ helicase-like homolog-like; Sp-Z328","HER_26224.t1"
"SPU_013415","Sp-BlmL","GO:0003676","Bloom syndrome, RecQ helicase-like homolog-like; Sp-Z328","HER_26628.t1"
"SPU_013415","Sp-BlmL","GO:0003676","Bloom syndrome, RecQ helicase-like homolog-like; Sp-Z328","HER_28830.t1"
"SPU_013415","Sp-BlmL",NA,"Bloom syndrome, RecQ helicase-like homolog-like; Sp-Z328","HER_3256.t1"
"SPU_013415","Sp-BlmL","GO:0003676","Bloom syndrome, RecQ helicase-like homolog-like; Sp-Z328","HER_34113.t1"
"SPU_013415","Sp-BlmL","GO:0003676","Bloom syndrome, RecQ helicase-like homolog-like; Sp-Z328","HER_34649.t1"
"SPU_013415","Sp-BlmL","GO:0003676","Bloom syndrome, RecQ helicase-like homolog-like; Sp-Z328","HER_34698.t1"
"SPU_013415","Sp-BlmL","GO:0003676","Bloom syndrome, RecQ helicase-like homolog-like; Sp-Z328","HER_36054.t1"
"SPU_013415","Sp-BlmL",NA,"Bloom syndrome, RecQ helicase-like homolog-like; Sp-Z328","HER_41679.t1"
"SPU_013415","Sp-BlmL",NA,"Bloom syndrome, RecQ helicase-like homolog-like; Sp-Z328","HER_44118.t1"
"SPU_013415","Sp-BlmL",NA,"Bloom syndrome, RecQ helicase-like homolog-like; Sp-Z328","HER_44495.t1"
"SPU_013415","Sp-BlmL","GO:0000724","Bloom syndrome, RecQ helicase-like homolog-like; Sp-Z328","HER_45233.t1"
"SPU_013415","Sp-BlmL",NA,"Bloom syndrome, RecQ helicase-like homolog-like; Sp-Z328","HER_45281.t1"
"SPU_013415","Sp-BlmL","GO:0003676","Bloom syndrome, RecQ helicase-like homolog-like; Sp-Z328","HER_470.t1"
"SPU_013415","Sp-BlmL",NA,"Bloom syndrome, RecQ helicase-like homolog-like; Sp-Z328","HER_47041.t1"
"SPU_013415","Sp-BlmL",NA,"Bloom syndrome, RecQ helicase-like homolog-like; Sp-Z328","HER_47048.t1"
"SPU_013415","Sp-BlmL","GO:0003676","Bloom syndrome, RecQ helicase-like homolog-like; Sp-Z328","HER_4851.t1"
"SPU_013415","Sp-BlmL","GO:0003676","Bloom syndrome, RecQ helicase-like homolog-like; Sp-Z328","HER_7273.t1"
"SPU_013415","Sp-BlmL","GO:0003676","Bloom syndrome, RecQ helicase-like homolog-like; Sp-Z328","HER_7295.t1"
"SPU_013415","Sp-BlmL",NA,"Bloom syndrome, RecQ helicase-like homolog-like; Sp-Z328","HER_7311.t1"
"SPU_013415","Sp-BlmL",NA,"Bloom syndrome, RecQ helicase-like homolog-like; Sp-Z328","HER_8976.t1"
"SPU_027935","Sp-Bmal",NA,"brain and muscle ARNT-like, Bmal1/2, aryl hydrocarbon receptor nuclear translocator-like, Arntl, Mop3/9, Pasd3/9","HER_12469.t1"
"SPU_027935","Sp-Bmal","GO:0000978","brain and muscle ARNT-like, Bmal1/2, aryl hydrocarbon receptor nuclear translocator-like, Arntl, Mop3/9, Pasd3/9","HER_12471.t1"
"SPU_027935","Sp-Bmal","GO:0000978","brain and muscle ARNT-like, Bmal1/2, aryl hydrocarbon receptor nuclear translocator-like, Arntl, Mop3/9, Pasd3/9","HER_12471.t2"
"SPU_027935","Sp-Bmal","GO:0000978","brain and muscle ARNT-like, Bmal1/2, aryl hydrocarbon receptor nuclear translocator-like, Arntl, Mop3/9, Pasd3/9","HER_12475.t1"
"SPU_013015","Sp-Bra","GO:0000978","brachyury, T, TA, brachyenteron (byn) homolog, SpBra","HER_34716.t1"
"SPU_016443","Sp-Brn1/2/4","GO:0000978","POU class 3 homeobox, Pou3f, Sp-Brn1-2-4, Sp-brn124","HER_34974.t1"
"SPU_025632","Sp-Brn3","GO:0000978","POU class 4 homeobox,Pou4f,Sp-Pou4f2","HER_48424.t1"
"SPU_019366","Sp-BsxL1","GO:0000981","brain-specific homeobox, bsh homolog, Sp-BsxL","HER_43766.t1"
"SPU_021518","Sp-C5orf41L","GO:0000977","human chromosome 5 open reading frame 41-like","HER_8334.t1"
"SPU_013581","Sp-C9orf114","GO:0000776","human chromosome 9 open reading frame 114","HER_47975.t1"
"SPU_027279","Sp-Cc2d1a","GO:0000978","coiled-coil and C2 domain containing 1A","HER_5077.t1"
"SPU_001307","Sp-Cdc5L","GO:0000398","Pombe Cdc5-related protein","HER_37042.t1"
"SPU_001307","Sp-Cdc5L","GO:0000398","Pombe Cdc5-related protein","HER_37069.t1"
"SPU_001657","Sp-CebpaL","GO:0000978","CCAAT/enhancer binding protein alpha-like, C/EBP alpha-like, Cebpa/b/d-like","HER_45097.t1"
"SPU_011002","Sp-Cebpg","GO:0000978","CCAAT/enhancer binding protein (C/EBP), gamma","HER_45646.t1"
"SPU_017407","Sp-Clock","GO:0000978","circadian locomotor output cycles kaput (Clock)-like","HER_49635.t1"
"SPU_014811","Sp-Copb2L","GO:0000977","coatomer protein complex, subunit beta 2 (beta prime)-like","HER_29305.t1"
"SPU_014811","Sp-Copb2L","GO:0000977","coatomer protein complex, subunit beta 2 (beta prime)-like","HER_29305.t1.1.5f2c69b0"
"SPU_006803","Sp-Creb3l3","GO:0000978","cAMP responsive element binding protein 3-like, Sp-Creb3","HER_11080.t1"
"SPU_012648","Sp-Crebzf","GO:0003700","CREB/ATF bZIP transcription factor, Sp-Zhangfei, LAZipII","HER_18626.t1"
"SPU_012648","Sp-Crebzf","GO:0003700","CREB/ATF bZIP transcription factor, Sp-Zhangfei, LAZipII","HER_38206.t1"
"SPU_012648","Sp-Crebzf","GO:0003700","CREB/ATF bZIP transcription factor, Sp-Zhangfei, LAZipII","HER_38206.t1.1.5f2c6847"
"SPU_005358","Sp-Crem","GO:0000978","cAMP-responsive element modulator-like, cAMP responsive element binding protein 1-like, Sp-Creb","HER_29792.t1"
"SPU_005358","Sp-Crem","GO:0000978","cAMP-responsive element modulator-like, cAMP responsive element binding protein 1-like, Sp-Creb","HER_29792.t2"
"SPU_014613","Sp-Csrnp","GO:0000981","cysteine-serine-rich nuclear protein, Csrnp1/2/3-like, Sp-Csrnp2, Sp-Hypp_231","HER_21305.t1"
"SPU_012546","Sp-Ctcf","GO:0000978","CCCTC-binding factor, z178","HER_45872.t1"
"SPU_012546","Sp-Ctcf","GO:0000978","CCCTC-binding factor, z178","HER_45872.t1.1.5f2c69b8"
"SPU_012546","Sp-Ctcf","GO:0000978","CCCTC-binding factor, z178","HER_45872.t1.2.5f2c69b8"
"SPU_012546","Sp-Ctcf","GO:0003677","CCCTC-binding factor, z178","HER_46155.t1"
"SPU_012546","Sp-Ctcf","GO:0003677","CCCTC-binding factor, z178","HER_46155.t1.1.5f2c69ed"
"SPU_012546","Sp-Ctcf","GO:0003677","CCCTC-binding factor, z178","HER_46155.t1.3.5f2c69ee"
"SPU_003596","Sp-Cutl_Casp","GO:0000139","CDP/cut alternatively spliced product, CASP, Sp-Cutl1cl, Sp-Cutl_1","HER_1756.t1"
"SPU_018581","Sp-Dach1","GO:0000978","dachshund (dac) homolog (partial)","HER_48744.t1"
"SPU_018581","Sp-Dach1","GO:0000978","dachshund (dac) homolog (partial)","HER_48744.t1.1.5f2c69ff"
"SPU_018581","Sp-Dach1","GO:0000978","dachshund (dac) homolog (partial)","HER_48744.t1.2.5f2c69ff"
"SPU_018581","Sp-Dach1","GO:0000978","dachshund (dac) homolog (partial)","HER_48744.t1.3.5f2c69ff"
"SPU_018581","Sp-Dach1","GO:0000978","dachshund (dac) homolog (partial)","HER_48744.t1.4.5f2c69ff"
"SPU_018581","Sp-Dach1","GO:0000978","dachshund (dac) homolog (partial)","HER_48744.t1.5.5f2c6a00"
"SPU_018581","Sp-Dach1","GO:0000978","dachshund (dac) homolog (partial)","HER_48744.t1.6.5f2c6a00"
"SPU_018581","Sp-Dach1","GO:0000978","dachshund (dac) homolog (partial)","HER_48744.t2"
"SPU_030153","Sp-Dbx","GO:0000981","developing brain homeobox, Sp-DBX1","HER_12816.t1"
"SPU_002815","Sp-Dlx","GO:0000978","distal-less homeobox, Dll","HER_39665.t1"
"SPU_028120","Sp-Dmrt","GO:0000978","doublesex and mab-3 related transcription factor-like ","HER_6932.t1"
"SPU_008648","Sp-Dmrt2","GO:0000978","doublesex and mab-3-related transcription factor 2","HER_6495.t1"
"SPU_001255","Sp-DmrtA2","GO:0000978","doublesex and mab-3 related transcription factor-like family A","HER_7550.t1"
"SPU_006312","Sp-Dp1","GO:0000977","transcription factor Dp, Dp,Tfdp1/2/3-like, Sp-DPI ","HER_20046.t1"
"SPU_006312","Sp-Dp1","GO:0000977","transcription factor Dp, Dp,Tfdp1/2/3-like, Sp-DPI ","HER_20050.t1"
"SPU_006753","Sp-E2f3","GO:0000978","E2F transcription factor 3-like, E2f1/2/3-like, SpE2F3, Sp-E2F","HER_22429.t1"
"SPU_006753","Sp-E2f3","GO:0000978","E2F transcription factor 3-like, E2f1/2/3-like, SpE2F3, Sp-E2F","HER_22429.t2"
"SPU_028827","Sp-E2f4","GO:0000978","E2F transcription factor 4 and 5-like, E2f4/5","HER_45996.t1"
"SPU_028827","Sp-E2f4","GO:0000978","E2F transcription factor 4 and 5-like, E2f4/5","HER_45997.t1"
"SPU_023346","Sp-E2f7","GO:0000978","E2F transcription factor 7","HER_27337.t1"
"SPU_001660","Sp-E78b_1","GO:0000122","ecdysone-induced protein 78C (Drosophila)-like (partial), NR1 family-like","HER_12455.t1"
"SPU_004702","Sp-Ebf","GO:0000978","early B-cell factor, Sp-Ebf3, Sp-OAZ/EBF, Sp-Coe, Ebf1/2/3/4-like, Coe1/2/3/4-like, O/E","HER_9250.t1"
"SPU_004702","Sp-Ebf","GO:0000978","early B-cell factor, Sp-Ebf3, Sp-OAZ/EBF, Sp-Coe, Ebf1/2/3/4-like, Coe1/2/3/4-like, O/E","HER_9250.t2"
"SPU_004702","Sp-Ebf","GO:0000978","early B-cell factor, Sp-Ebf3, Sp-OAZ/EBF, Sp-Coe, Ebf1/2/3/4-like, Coe1/2/3/4-like, O/E","HER_9252.t1"
"SPU_004702","Sp-Ebf","GO:0000978","early B-cell factor, Sp-Ebf3, Sp-OAZ/EBF, Sp-Coe, Ebf1/2/3/4-like, Coe1/2/3/4-like, O/E","HER_9252.t2"
"SPU_015358","Sp-Egr",NA,"early growth response, z60, stripe homolog","HER_7995.t1"
"SPU_015358","Sp-Egr","GO:0005125","early growth response, z60, stripe homolog","HER_8009.t1_HER_8011.t1"
"SPU_015358","Sp-Egr","GO:0000978","early growth response, z60, stripe homolog","HER_8403.t1"
"SPU_015358","Sp-Egr","GO:0000978","early growth response, z60, stripe homolog","HER_8403.t2"
"SPU_002592","Sp-Emx","GO:0000978","empty spiracles homeobox, Emx1/2","HER_9273.t1"
"SPU_020975","Sp-En","GO:0000978","engrailed homeobox, Sp-Engrailed, Engr","HER_39550.t1"
"SPU_020975","Sp-En",NA,"engrailed homeobox, Sp-Engrailed, Engr","HER_39552.t1"
"SPU_004723","Sp-Err","GO:0003700","estrogen-related receptor-like, Err2-like, Esrr, NR3B","HER_19176.t1"
"SPU_012586","Sp-Fax1","GO:0000978","Hr83 (D. melanogaster) homolog, NR2E5","HER_19818.t1"
"SPU_004551","Sp-FoxB","GO:0000978","forkhead box B","HER_11066.t1"
"SPU_027648","Sp-FoxD_1","GO:0000978","forkhead box D","HER_6581.t1"
"SPU_009771","Sp-FoxG","GO:0003700","Forkhead box G, Bf1, BF-1,\nFoxG1","HER_17288.t1"
"SPU_023894","Sp-FoxI","GO:0000978","forkhead box I","HER_8592.t1"
"SPU_023894","Sp-FoxI","GO:0000978","forkhead box I","HER_8596.t1"
"SPU_027969","Sp-FoxJ1","GO:0003700","forkhead box J1","HER_16303.t1"
"SPU_014809","Sp-FoxL2","GO:0000978","forkhead box L2","HER_29302.t1"
"SPU_025590","Sp-FoxM","GO:0000978","forkhead box M","HER_13686.t1"
"SPU_025590","Sp-FoxM","GO:0000978","forkhead box M","HER_13686.t2"
"SPU_019002","Sp-FoxQ2_1","GO:0000978","forkhead box Q2 (copy 2)","HER_16548.t1"
"SPU_019002","Sp-FoxQ2_1","GO:0000978","forkhead box Q2 (copy 2)","HER_16550.t1"
"SPU_021172","Sp-Fra2","GO:0000978","Fos(FBJ osteosarcoma oncogene)-like, fos related antigen, Sp-Fos","HER_17393.t1"
"SPU_021172","Sp-Fra2","GO:0000978","Fos(FBJ osteosarcoma oncogene)-like, fos related antigen, Sp-Fos","HER_17393.t2"
